state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXXOXOX..,OXXOXO...,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXOXO.X.,OXXOXO...,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXOXOO.X,OXXOXO..X,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOXOXOX,OXXOXO.OX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXXOXO.OX,OXXOXO..X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOXO..X,OXXOXO...,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXXOXO...,OXXOX....,X,6,0.8333333333,0.25,0.1666666667,-0.25,0.0,0.0
OXXOX.O..,OXXOX....,X,6,0.0,-0.5833333333,1.0,0.5833333332999999,0.0,0.0
OXXOXXOO.,OXXOXX.O.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOXXXOO,OXXOXX.OO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXXOXX.OO,OXXOXX.O.,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOXX.O.,OXXOX..O.,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXXOX.XO.,OXXOX..O.,O,7,1.0,0.33333333330000003,0.0,-0.3333333333,0.0,0.0
OXXOX.OOX,OXXOX..OX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOX..OX,OXXOX..O.,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXXOX..O.,OXXOX....,X,6,0.6666666667,0.08333333339999993,0.3333333333,-0.08333333340000004,0.0,0.0
OXXOXXO.O,OXXOXX..O,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOXX..O,OXXOX...O,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXXOX.X.O,OXXOX...O,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXOX..XO,OXXOX...O,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXOX...O,OXXOX....,X,6,0.8333333333,0.25,0.1666666667,-0.25,0.0,0.0
OXXOX....,OXXO.....,O,5,0.5833333333,0.11666666660000002,0.4166666667,-0.11666666659999997,0.0,0.0
OXXOOXXOX,OXXOOXXO.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXXOOXXO.,OXXOOXX..,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOOXX.O,OXXOOXX..,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOOXX..,OXXOOX...,O,7,0.5,0.0,0.5,0.0,0.0,0.0
OXXOOXOX.,OXXOOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXXOOX.XO,OXXOOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXXOOX.X.,OXXOOX...,O,7,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOOX..X,OXXOOX...,O,7,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOOX...,OXXO.X...,X,6,0.5,0.08333333329999998,0.5,-0.08333333330000003,0.0,0.0
OXXO.XO..,OXXO.X...,X,6,0.0,-0.4166666667,1.0,0.41666666669999997,0.0,0.0
OXXO.XXOO,OXXO.XXO.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXXO.XXO.,OXXO.X.O.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXO.X.OX,OXXO.X.O.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXO.X.O.,OXXO.X...,X,6,0.8333333333,0.4166666666,0.1666666667,-0.41666666660000007,0.0,0.0
OXXO.XX.O,OXXO.X..O,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXXO.XOXO,OXXO.X.XO,X,8,0.0,0.0,1.0,0.0,0.0,0.0
